Tên môn học, Số tín chỉ, Điểm, Điểm chữ, Điểm 4, Học kỳ, Lớp, Ghi chú;;
CSC10001 - Nhập môn lập trình, 4, 10, A+, 4, 21-22/1, 21TNT1, CK = 9.50;;
MTH00086 - Thực hành Toán rời rạc, 1, 10, A+, 4, 21-22/1, 21TNT1B, ;;
MTH00081 - Thực hành Vi tích phân 1B, 1, 8.5, A., 3.75, 21-22/1, 21TNT1B, ;;
MTH00041 - Toán rời rạc, 3, 7, B+, 3, 21-22/1, 21TNT1, Phúc khảo;;
MTH00003 - Vi tích phân 1B, 3, 8.5, A., 3.75, 21-22/1, 21TNT1, CK = 6.25;;
ENV00003 - Con người và môi trường, 2, 9.5, A+, 4, 21-22/2, 21TTH, ;;
MTH00030 - Đại số tuyến tính, 3, 8.1, A., 3.55, 21-22/2, 21TNT1, CK=7.5(60%);GK=9.0(40%);
CSC10010 - Lập trình cho trí tuệ nhân tạo, 4, 8, A., 3.5, 21-22/2, 21TNT1, ;;
BAA00004 - Pháp luật đại cương, 3, 7.3, B+, 3.15, 21-22/2, 21TNT1, CK = 6.5;;
MTH00083 - Thực hành Đại số tuyến tính, 1, 9, A+, 4, 21-22/2, 21TNT1B, ;;
MTH00082 - Thực hành Vi tích phân 2B, 1, 8, A., 3.5, 21-22/2, 21TNT1B, ;;
BAA00101 - Triết học Mác - Lênin, 3, 8, A., 3.5, 21-22/2, 21HOH2, ;;
PHY00001 - Vật l‎‎ý đại cương 1 (Cơ - Nhiệt), 3, 7.2, B+, 3.1, 21-22/2, 21TNT1, CK = 7;;
MTH00004 - Vi tích phân 2B, 3, 7.3, B+, 3.15, 21-22/2, 21TNT1, ;;
CSC10004 - Cấu trúc dữ liệu và giải thuật, 4, 7, B+, 3, 22-23/1, 21TNT1, ;;
BAA00103 - Chủ nghĩa xã hội khoa học, 2, 6.5, B., 2.75, 22-23/1, 21DTV2, CK=5(50%);GK=8.0(50%);
BAA00005 - Kinh tế đại cương, 2, 7, B+, 3, 22-23/1, 21_3, ;;
CSC10008 - Mạng máy tính, 4, 6.5, B., 2.75, 22-23/1, 21TNT1, ;;
MTH00085 - Thực hành Xác suất thống kê, 1, 8.5, A., 3.75, 22-23/1, 21TNT1B, ;;
MTH00050 - Toán học tổ hợp, 4, 6.9, B., 2.95, 22-23/1, 21TNT1, ;;
BAA00003 - Tư tưởng Hồ Chí Minh, 2, 8.8, A., 3.9, 22-23/1, 21VYK1, CK=9(50%);GK=8.5(50%);
PHY00002 - Vật l‎‎ý đại cương 2 (Điện từ - Quang), 3, 8.5, A., 3.75, 22-23/1, 21TNT1, BT=8.5(20%);CK=10(50%);GK=6(30%)
MTH00040 - Xác suất thống kê, 3, 9.3, A+, 4, 22-23/1, 21TNT1, ;;
CSC10006 - Cơ sở dữ liệu, 4, 8, A., 3.5, 22-23/2, 21TNT, CK = 8;;
CSC10009 - Hệ thống máy tính, 2, 8, A., 3.5, 22-23/2, 21TNT, CK = 7.5;;
BAA00102 - Kinh tế chính trị Mác - Lênin, 2, 8.5, A., 3.75, 22-23/2, 21_4, CK = 8.0;;
BAA00104 - Lịch sử Đảng Cộng sản Việt Nam, 2, 7.3, B+, 3.15, 22-23/2, 22TTH3, CK=6.0(50%);GK=8.5(50%);
CSC10003 - Phương pháp lập trình hướng đối tượng, 4, 6.5, B., 2.75, 22-23/2, 21TNT, CK = 6.5;;
MTH00056 - Phương pháp toán cho trí tuệ nhân tạo, 4, 9, A+, 4, 22-23/2, 21TNT, CK = 8.3;;
CSC10121 - Kỹ năng mềm, 3, 8.4, A., 3.7, 22-23/3, 21_1, CK = 8.2;;
CSC10007 - Hệ điều hành, 4, 8.1, A., 3.55, 23-24/1, 21_21, CK = 8;;
CSC15006 - Nhập môn xử lý ngôn ngữ tự nhiên, 4, 9.1, A+, 4, 23-24/1, 21_22, CK = 9.5;;
CSC16005 - Xử lý ảnh số và video số, 4, 8.2, A., 3.6, 23-24/1, 21_23, CK = 6.5;;
CSC14003 - Cơ sở trí tuệ nhân tạo, 4, 5.5, C., 2.25, 23-24/2, 21_3, CK = 4.3;;
CSC10011 - Công nghệ phần mềm cho hệ thống trí tuệ nhân tạo, 4, 8.3, A., 3.65, 23-24/2, 21TNT, CK = 7.1;;
CSC14004 - Khai thác dữ liệu và ứng dụng, 4, 9.5, A+, 4, 23-24/2, 21_21, CK = 6.0;;
CSC14005 - Nhập môn học máy, 4, 8.7, A., 3.85, 23-24/2, 21_21, CK = 9.3;;
CSC17001 - Phân tích dữ liệu thông minh, 4, 8.7, A., 3.85, 23-24/2, 21_21, ;;
CSC16004 - Thị giác máy tính, 4, 8.7, A., 3.85, 23-24/2, 21_23, CK = 7.9;;
Điểm trung bình tích lũy (GPA): 8.041025641025639;;
Điểm trung bình tích lũy (GPA) hệ 4: 3.480769230769231;;
Điểm trung bình học tập: 8.041025641025639;;
Số tín chỉ tích lũy: 117;;
Tổng điểm tích lũy: 940.7999999999998;;
Tổng học phần: 50;;
Tổng học phần trong GPA: 39;;